,City Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,New Plymouth,-39.07,174.08,57.0,68,12,15.01,NZ,1600234364
1,Kapaa,22.08,-159.32,80.6,69,20,10.29,US,1600233949
2,Atuona,-9.8,-139.03,78.33,76,1,18.63,PF,1600234364
3,Emporia,38.4,-96.18,62.6,88,1,6.93,US,1600234365
4,Fallon,39.47,-118.78,60.8,44,90,5.82,US,1600234365
5,Punta Arenas,-53.15,-70.92,30.2,86,0,13.87,CL,1600234365
6,Avarua,-21.21,-159.78,73.4,78,70,11.41,CK,1600234365
7,Jamestown,42.1,-79.24,51.01,87,1,8.05,US,1600234366
8,Moose Factory,51.26,-80.61,48.2,87,90,4.7,CA,1600234366
9,Albany,42.6,-73.97,48.0,78,4,3.13,US,1600234248
10,Cidreira,-30.18,-50.21,59.61,91,100,16.51,BR,1600234367
11,Onega,63.91,38.14,47.37,80,30,2.64,RU,1600234367
12,Igarka,67.47,86.58,59.52,63,3,11.97,RU,1600234367
13,Hobart,-42.88,147.33,62.6,39,75,19.46,AU,1600233934
14,Mataura,-46.19,168.86,52.0,86,100,11.99,NZ,1600233958
15,Gao,16.64,1.64,87.6,29,0,6.6,ML,1600234368
16,Narsaq,60.92,-46.05,42.8,81,100,2.24,GL,1600233980
17,Manggar,-2.88,108.27,84.76,65,24,12.66,ID,1600234368
18,Havelock,34.88,-76.9,69.8,77,90,11.41,US,1600233772
19,Tiksi,71.69,128.87,46.04,67,20,2.75,RU,1600233949
20,Hithadhoo,-0.6,73.08,81.97,71,100,9.69,MV,1600233970
21,Souillac,-20.52,57.52,71.6,49,75,14.99,MU,1600234037
22,Kahului,20.89,-156.47,82.4,54,20,18.34,US,1600233900
23,Cape Town,-33.93,18.42,53.01,87,75,16.11,ZA,1600234096
24,Lüderitz,-26.65,15.16,50.92,69,0,11.18,NA,1600234025
25,Hilo,19.73,-155.09,78.8,69,20,3.78,US,1600233963
26,Ossora,59.24,163.07,50.16,75,67,4.43,RU,1600234369
27,Dunedin,-45.87,170.5,57.0,66,55,8.99,NZ,1600233741
28,Vaini,-21.2,-175.2,75.2,73,40,13.87,TO,1600233965
29,Allonnes,47.97,0.16,68.0,64,64,5.91,FR,1600234370
30,Bandarbeyla,9.49,50.81,85.28,56,27,24.7,SO,1600233987
31,Rikitea,-23.12,-134.97,73.78,75,0,3.83,PF,1600234370
32,Saskylakh,71.92,114.08,50.29,75,100,5.61,RU,1600233967
33,Dalvik,65.97,-18.53,44.6,70,100,9.17,IS,1600234371
34,Mtwango,-9.02,34.8,62.35,73,69,9.31,TZ,1600234371
35,Airai,-8.93,125.41,78.19,42,58,3.65,TL,1600233969
36,Ushuaia,-54.8,-68.3,32.0,91,40,5.82,AR,1600233767
37,Petrov Val,50.14,45.21,58.48,49,0,18.1,RU,1600234371
38,Guerrero Negro,27.98,-114.06,76.41,61,0,14.29,MX,1600233987
39,Prudentópolis,-25.21,-50.98,56.73,87,99,3.65,BR,1600234197
40,Fare,-16.7,-151.02,78.91,76,0,13.76,PF,1600234018
41,Castro,-24.79,-50.01,51.6,97,77,4.97,BR,1600234002
42,San Onofre,9.74,-75.53,79.03,86,100,3.6,CO,1600234372
43,Linjiang,41.81,126.91,65.25,78,100,4.76,CN,1600234373
44,Hasaki,35.73,140.83,82.99,65,75,6.93,JP,1600234373
45,Maniitsoq,65.42,-52.9,42.04,77,89,6.46,GL,1600234373
46,Baruun-Urt,46.68,113.28,56.89,48,100,21.21,MN,1600234374
47,Alice Springs,-23.7,133.88,86.0,15,41,6.93,AU,1600234229
48,Narasannapeta,18.42,84.05,87.93,69,75,6.78,IN,1600234374
49,Barrow,71.29,-156.79,35.6,80,90,23.04,US,1600233717
50,Arraial do Cabo,-22.97,-42.03,70.7,90,77,13.4,BR,1600233982
51,Port Alfred,-33.59,26.89,57.04,82,37,8.25,ZA,1600234029
52,Ostrovnoy,68.05,39.51,42.39,77,94,9.15,RU,1600233982
53,Medvezh'yegorsk,62.92,34.47,47.46,79,99,2.01,RU,1600234374
54,Bethel,41.37,-73.41,48.99,93,1,3.87,US,1600234050
55,Coyhaique,-45.58,-72.07,32.0,94,27,3.36,CL,1600234375
56,Camacha,33.08,-16.33,71.6,83,40,13.87,PT,1600234376
57,Hermanus,-34.42,19.23,45.0,95,11,11.14,ZA,1600233968
58,Dikson,73.51,80.55,42.42,95,99,16.62,RU,1600234023
59,Puerto Ayora,-0.74,-90.35,66.99,91,75,4.0,EC,1600233960
60,Busselton,-33.65,115.33,61.0,80,31,3.0,AU,1600233956
61,Carnarvon,-24.87,113.63,73.4,64,0,21.92,AU,1600233958
62,Bredasdorp,-34.53,20.04,44.6,87,9,1.12,ZA,1600234029
63,Isangel,-19.55,169.27,77.0,73,75,11.41,VU,1600233987
64,Pisco,-13.7,-76.22,62.6,82,40,4.7,PE,1600234377
65,Cabo San Lucas,22.89,-109.91,84.99,82,61,14.25,MX,1600233857
66,Manokwari,-0.87,134.08,85.17,63,40,2.37,ID,1600234377
67,Kuril'sk,45.23,147.88,62.73,78,90,10.54,RU,1600234378
68,Alofi,-19.06,-169.92,73.4,83,0,12.75,NU,1600233948
69,Ishigaki,24.34,124.16,87.8,79,75,11.41,JP,1600234066
70,Abonnema,4.71,6.79,74.89,91,100,6.38,NG,1600234378
71,Sur,22.57,59.53,90.68,37,38,6.51,OM,1600234378
72,Chiang Rai,19.91,99.83,87.8,70,75,6.93,TH,1600234378
73,Baykit,61.67,96.37,62.22,50,38,8.97,RU,1600234044
74,Nome,64.5,-165.41,48.2,93,90,20.8,US,1600233966
75,Tuktoyaktuk,69.45,-133.04,32.0,90,20,10.29,CA,1600233968
76,Bolgar,54.95,49.07,48.2,81,75,22.37,RU,1600234379
77,Kovdor,67.57,30.48,40.8,86,95,2.17,RU,1600234379
78,Kavieng,-2.57,150.8,84.34,75,74,15.37,PG,1600234014
79,Talnakh,69.49,88.4,62.6,48,71,15.66,RU,1600234060
80,Tasiilaq,65.61,-37.64,35.6,94,100,34.45,GL,1600233999
81,Tessalit,20.2,1.01,89.65,15,82,11.03,ML,1600234061
82,Arlit,18.74,7.39,89.49,22,0,9.17,NE,1600233994
83,Clyde River,70.47,-68.59,32.0,95,75,16.11,CA,1600233992
84,Krasnosel'kup,65.7,82.47,59.52,59,37,15.32,RU,1600234011
85,Upernavik,72.79,-56.15,26.62,87,12,10.89,GL,1600234049
86,San Patricio,19.22,-104.7,78.91,86,72,5.93,MX,1600234380
87,Deniliquin,-35.53,144.97,73.0,29,88,1.01,AU,1600234278
88,Dhankutā,26.98,87.33,79.92,69,21,5.5,NP,1600234381
89,Tingi,-11.3,35.03,72.81,54,0,6.62,TZ,1600234381
90,Pilar,-9.6,-35.96,69.8,94,30,2.24,BR,1600234381
91,Zavodouspenskoye,56.86,65.02,51.8,93,90,11.18,RU,1600234382
92,La Cruz,23.92,-106.9,80.83,89,72,3.29,MX,1600234382
93,Zaria,11.11,7.72,70.93,85,52,2.8,NG,1600234382
94,Laas,46.62,10.7,57.0,100,20,3.36,IT,1600234031
95,Gizo Government Station,-8.1,156.84,83.19,75,86,5.61,SB,1600234099
96,Aklavik,68.22,-135.01,35.6,71,75,9.17,CA,1600233959
97,Vila Franca do Campo,37.72,-25.43,64.4,55,20,10.29,PT,1600234383
98,Mulchén,-37.72,-72.23,49.78,96,99,0.78,CL,1600234383
99,Māngrol,21.12,70.12,84.56,72,87,8.01,IN,1600234384
100,Faanui,-16.48,-151.75,78.08,79,3,15.19,PF,1600234384
101,Port-Gentil,-0.72,8.78,77.0,83,75,11.41,GA,1600234384
102,Saint George,37.1,-113.58,84.2,12,1,3.04,US,1600234385
103,Korhogo,9.45,-5.63,69.85,97,15,5.35,CI,1600234385
104,Nanortalik,60.14,-45.24,42.57,92,100,17.4,GL,1600234385
105,Qaanaaq,77.48,-69.36,18.48,76,0,6.98,GL,1600234386
106,Portobelo,9.55,-79.65,77.0,94,71,7.0,PA,1600234386
107,East London,-33.02,27.91,55.4,87,91,8.05,ZA,1600234304
108,Huarmey,-10.07,-78.15,59.86,86,93,7.67,PE,1600234386
109,São Miguel do Araguaia,-13.28,-50.16,73.47,40,0,3.76,BR,1600234387
110,Suratgarh,29.32,73.9,101.97,26,23,5.06,IN,1600234387
111,Karratha,-20.74,116.85,92.07,24,6,15.79,AU,1600234387
112,Constitución,-35.33,-72.42,51.19,90,96,7.07,CL,1600234387
113,Tuatapere,-46.13,167.68,51.01,87,100,10.0,NZ,1600234388
114,Nikolayevsk-on-Amur,53.14,140.73,61.09,81,91,3.83,RU,1600234388
115,Naze,28.37,129.48,86.0,79,75,12.75,JP,1600234388
116,Trairi,-3.28,-39.27,76.77,80,8,12.55,BR,1600234388
117,Kruisfontein,-34.0,24.73,50.0,92,0,1.01,ZA,1600234389
118,Saint-Philippe,-21.36,55.77,73.4,49,40,2.24,RE,1600234389
119,New Norfolk,-42.78,147.06,62.6,39,75,19.46,AU,1600234389
120,Bathsheba,13.22,-59.52,82.4,78,20,13.87,BB,1600234390
121,Qaqortoq,60.72,-46.03,42.8,81,100,2.24,GL,1600234390
122,Petlāwad,23.0,74.8,85.26,77,69,10.07,IN,1600234390
123,Ribeira Grande,38.52,-28.7,65.48,64,78,15.41,PT,1600234390
124,Bengkulu,-3.8,102.27,79.5,80,99,5.64,ID,1600234391
125,Port Lincoln,-34.73,135.87,65.21,53,99,10.38,AU,1600234320
126,Verāval,20.9,70.37,84.58,73,71,7.56,IN,1600234391
127,Terrace,54.52,-128.6,53.6,87,5,5.82,CA,1600234392
128,Erzin,36.96,36.2,80.01,83,11,3.15,TR,1600234392
129,Zyryanka,65.75,150.85,49.66,64,100,8.08,RU,1600234392
130,Kenai,60.55,-151.26,52.0,87,90,3.36,US,1600234392
131,Casablanca,33.59,-7.62,68.0,100,20,3.36,MA,1600234192
132,Stafford,52.81,-2.12,57.99,73,39,1.01,GB,1600234252
133,Sisimiut,66.94,-53.67,37.09,89,100,10.51,GL,1600234393
134,Nhulunbuy,-12.23,136.77,84.2,58,40,16.11,AU,1600234393
135,Yellowknife,62.46,-114.35,32.0,79,5,3.36,CA,1600234393
136,Nikolskoye,59.7,30.79,48.99,93,40,4.47,RU,1600234394
137,Mayor Pablo Lagerenza,-19.93,-60.77,70.14,64,29,3.98,PY,1600234394
138,Eureka,40.8,-124.16,66.2,93,90,3.36,US,1600234394
139,Khatanga,71.97,102.5,57.74,61,98,7.43,RU,1600234395
140,Forsytheganj,52.63,29.73,62.35,85,62,4.5,BY,1600234395
141,Emilio Carranza,19.97,-96.61,78.28,73,83,11.86,MX,1600234395
142,Touros,-5.2,-35.46,71.6,100,40,3.36,BR,1600234395
143,Terrace Bay,48.78,-87.1,49.62,85,82,4.7,CA,1600234396
144,Saldanha,-33.01,17.94,48.2,87,7,3.36,ZA,1600234396
145,Española,35.99,-106.08,62.6,27,1,9.17,US,1600234396
146,Tilichiki,60.47,166.1,47.44,72,79,8.37,RU,1600234397
147,Yangliuqing,39.14,117.0,75.2,23,1,13.42,CN,1600234397
148,Ampanihy,-24.7,44.75,70.93,71,28,6.49,MG,1600234397
149,Mar del Plata,-38.0,-57.56,48.99,81,12,6.93,AR,1600234112
150,São Filipe,14.9,-24.5,78.85,84,93,8.39,CV,1600234398
151,Coquimbo,-29.95,-71.34,51.8,81,1,2.24,CL,1600234398
152,Fortuna,40.6,-124.16,64.99,100,90,2.59,US,1600234103
153,Haines Junction,60.75,-137.51,42.62,62,97,3.69,CA,1600234398
154,Provideniya,64.38,-173.3,48.2,81,75,4.47,RU,1600234399
155,Verkhoyansk,67.54,133.38,53.73,51,21,6.2,RU,1600234399
156,Nybro,56.74,15.91,57.0,100,10,1.12,SE,1600234399
157,Umluj,25.02,37.27,94.15,40,0,4.36,SA,1600234399
158,Ixtapa,20.7,-105.2,82.4,88,75,2.24,MX,1600234400
159,Port Hedland,-20.32,118.57,96.8,32,50,13.87,AU,1600234400
160,Marawi,8.0,124.29,84.0,79,100,5.99,PH,1600234400
161,Butaritari,3.07,172.79,83.61,74,70,16.35,KI,1600234400
162,Ahipara,-35.17,173.17,57.16,81,2,7.07,NZ,1600234401
163,Natal,-5.79,-35.21,77.0,83,40,10.29,BR,1600234238
164,Russkiy Aktash,55.04,52.12,46.4,93,90,17.9,RU,1600234279
165,Geraldton,-28.77,114.6,71.6,49,44,23.04,AU,1600234401
166,Mirzāpur,25.15,82.58,89.6,70,99,3.36,IN,1600234401
167,Kayes,14.0,-11.0,76.21,88,10,5.08,ML,1600234402
168,Teknāf,20.86,92.31,88.2,70,47,8.43,BD,1600234402
169,Batemans Bay,-35.72,150.18,71.01,44,38,7.0,AU,1600234229
170,Sergiyevsk,53.94,51.16,47.68,82,86,19.01,RU,1600234402
171,Saint Anthony,45.02,-93.22,69.8,68,1,5.82,US,1600234403
172,Ozinki,51.18,49.68,54.9,56,0,18.99,RU,1600234403
173,Partyzany,46.33,34.75,71.38,56,0,9.71,UA,1600234403
174,Igrim,63.19,64.42,55.94,75,97,12.64,RU,1600234404
175,Laurel,39.1,-76.85,52.0,87,1,3.67,US,1600234141
176,Yulara,-25.24,130.99,91.4,10,0,13.87,AU,1600234404
177,Miandrivazo,-19.52,45.47,84.29,49,41,2.35,MG,1600234404
178,Kumul,42.8,93.45,77.27,18,100,7.4,CN,1600234404
179,Coahuayana Viejo,18.73,-103.68,77.85,86,100,2.44,MX,1600234405
180,Avinurme,58.98,26.86,55.99,98,77,4.0,EE,1600234405
181,Katherine,-14.47,132.27,95.0,15,96,8.05,AU,1600234406
182,Toribío,2.95,-76.27,69.8,73,75,6.93,CO,1600234406
183,Algiers,36.75,3.04,62.6,93,20,1.34,DZ,1600234406
184,Faya,18.39,42.45,73.4,42,40,5.84,SA,1600234406
185,Farah,32.5,62.5,78.19,16,0,4.18,AF,1600234407
186,Troitskiy,57.06,63.75,51.35,96,100,7.38,RU,1600234407
187,Tual,-5.67,132.75,79.93,82,88,16.15,ID,1600234132
188,Kavaratti,10.57,72.64,84.2,79,40,11.41,IN,1600234407
189,Marquette,46.53,-87.63,59.0,90,58,3.51,US,1600234377
190,São Paulo de Olivença,-3.38,-68.87,71.06,96,44,2.35,BR,1600234408
191,San Isidro,-12.12,-77.05,60.8,82,90,5.82,PE,1600234408
192,Severo-Kuril'sk,50.68,156.12,54.86,64,60,12.12,RU,1600234408
193,Kodinsk,58.69,99.18,63.09,45,53,7.56,RU,1600234409
194,Lebu,-37.62,-73.65,49.14,95,88,1.03,CL,1600234409
195,Bonavista,48.65,-53.11,49.82,69,43,11.79,CA,1600234410
196,Colinas,-6.03,-44.25,76.42,47,17,3.94,BR,1600234410
197,Santa Cruz de la Sierra,-17.8,-63.17,64.4,82,14,4.7,BO,1600234185
198,Laguna,38.42,-121.42,70.0,64,1,5.82,US,1600234411
199,Whitehorse,60.72,-135.05,53.6,40,90,12.75,CA,1600234185
200,George Town,5.41,100.34,87.8,62,40,5.82,MY,1600234411
201,Codrington,-38.27,141.97,59.9,72,67,8.3,AU,1600234411
202,Yumen,40.28,97.2,74.95,15,95,20.02,CN,1600234412
203,Sohag,26.56,31.69,80.6,51,0,6.93,EG,1600234412
204,Kidal,18.44,1.41,87.71,19,36,3.85,ML,1600234412
205,The Valley,18.22,-63.06,84.2,79,20,9.17,AI,1600234412
206,Wolgast,54.05,13.77,61.0,83,73,6.89,DE,1600234413
207,Artigas,-30.4,-56.47,52.61,96,55,5.3,UY,1600234413
208,Bambous Virieux,-20.34,57.76,72.0,49,75,14.99,MU,1600234413
209,Chapais,49.78,-74.85,42.8,93,90,11.41,CA,1600234413
210,Seoul,37.57,126.98,77.0,65,90,7.99,KR,1600234164
211,Fairbanks,64.84,-147.72,53.6,71,90,3.36,US,1600234203
212,Pevek,69.7,170.31,43.12,79,96,4.83,RU,1600234414
213,Phalodi,27.13,72.37,97.92,38,0,8.95,IN,1600234259
214,Phan Thiet,10.93,108.1,87.4,66,93,11.65,VN,1600234415
215,Lavrentiya,65.58,-171.0,44.51,92,98,10.11,RU,1600234415
216,Ponta do Sol,32.67,-17.1,73.4,69,40,5.82,PT,1600234415
217,Santa Rosa,14.31,121.11,88.0,70,75,6.93,PH,1600234262
218,Sept-Îles,50.2,-66.38,30.2,92,5,4.7,CA,1600234416
219,Skovorodino,53.98,123.92,64.89,42,99,4.16,RU,1600234416
220,Dauphin,51.15,-100.05,48.2,93,90,8.05,CA,1600234416
221,Chiredzi,-21.05,31.67,77.74,49,0,5.99,ZW,1600234416
222,Ulaanbaatar,47.91,106.88,50.0,46,20,8.95,MN,1600234394
223,Quatre Cocos,-20.21,57.76,72.0,49,75,14.99,MU,1600234417
224,Goose Creek,32.98,-80.03,73.0,73,90,11.41,US,1600234417
225,Fort Nelson,58.81,-122.7,46.4,65,20,3.36,CA,1600234202
226,Comodoro Rivadavia,-45.87,-67.5,41.0,41,1,6.93,AR,1600234148
227,Port Elizabeth,-33.92,25.57,53.6,93,20,5.82,ZA,1600234417
228,Srednekolymsk,67.45,153.68,43.32,78,98,8.34,RU,1600234418
229,Bluff,-46.6,168.33,51.01,87,100,10.0,NZ,1600234418
230,Sibolga,1.74,98.78,86.7,59,40,6.04,ID,1600234418
231,Los Llanos de Aridane,28.66,-17.92,77.0,78,99,10.29,ES,1600234418
232,Vardø,70.37,31.11,42.8,100,75,2.24,NO,1600234418
